timestamp,close,high,low,open,volume 
1999-01-22,0.03760487958788872,0.04476718699887432,0.03557500863726347,0.04011150291690186,2714688000
1999-01-25,0.041544508188962936,0.042021260473815124,0.03760487221005679,0.04058916609451217,510480000
1999-01-26,0.03832093998789787,0.042857435814769404,0.037724078841054914,0.04202128305003959,343200000
1999-01-27,0.03820173442363739,0.03939545281059342,0.036291053409990705,0.03844011059603312,244368000
1999-01-28,0.038081634789705276,0.038440116154890895,0.03784325858283777,0.03820173994802339,227520000
1999-01-29,0.03629106655716896,0.038201748262999026,0.03629106655716896,0.03808164307853887,244032000
1999-02-01,0.037008024752140045,0.03724640098067382,0.036291061956603324,0.036291061956603324,154704000
1999-02-02,0.034142907708883286,0.037246391721876146,0.03306837912991744,0.03629105293528607,264096000
1999-02-03,0.034858960658311844,0.03533663183716461,0.033425950537228,0.033665245507967574,75120000
1999-02-04,0.036768727004528046,0.03772406586823927,0.03485895779323396,0.03533662893282665,181920000
1999-02-05,0.037843257188797,0.03820173854077716,0.036411162475103204,0.03736558603003649,136848000
1999-02-08,0.03653034567832947,0.03820173520683171,0.03653034567832947,0.03808163006341977,154080000
1999-02-09,0.03509734198451042,0.03748477923196509,0.034619670782485304,0.03724639959681339,86976000
1999-02-10,0.03473978489637375,0.03605269026041232,0.034142923723018796,0.035097351025737245,148224000
1999-02-11,0.03772406280040741,0.03915615734017249,0.0348589549584011,0.0348589549584011,132240000
1999-02-12,0.03987312316894531,0.04011149933686367,0.03820173370610247,0.03820173370610247,109728000
1999-02-16,0.04011150076985359,0.04226056140778014,0.03605267443293916,0.04058917188522663,211008000
1999-02-17,0.037962447851896286,0.03963383771434037,0.037246400414474856,0.03915616650182904,67728000
1999-02-18,0.03855929896235466,0.03963382751559269,0.03748477040911663,0.039156156425997755,70704000
1999-02-19,0.03987312316894531,0.04058917043517183,0.03772406260779431,0.03820173370610247,75360000
1999-02-22,0.04011150076985359,0.04106684300059967,0.037962440131927046,0.04058917188522663,205248000
1999-02-23,0.042021263390779495,0.04285741576432314,0.038679403352968364,0.041066839992449304,138096000
1999-02-24,0.045364052057266235,0.050139841721879,0.044289523291049765,0.048229160400263864,612768000
1999-02-25,0.04393194988369942,0.04870682339866475,0.043214983846468706,0.04727472543369419,149136000
1999-02-26,0.0419020801782608,0.045841716727673405,0.04154451420510508,0.044409622140986045,172608000
1999-03-01,0.042141374200582504,0.043931953629086,0.040111503233914596,0.04297661133965297,92160000
1999-03-02,0.04178290441632271,0.04226057569316343,0.04106685688246904,0.042021280673335645,55248000
1999-03-03,0.03891778737306595,0.042021271878786216,0.0386794111659423,0.042021271878786216,61392000
1999-03-04,0.038081634789705276,0.04106684824354135,0.0377240687716668,0.04082755327405227,57360000
1999-03-05,0.04023069515824318,0.040349881552328805,0.038440115635336315,0.038440115635336315,78768000
1999-03-08,0.04082754626870155,0.042021264623459356,0.03844010955918595,0.039156156819547844,75888000
1999-03-09,0.042141374200582504,0.04273823514857507,0.04070836418190717,0.04070836418190717,143184000
1999-03-10,0.04142441600561142,0.04273823977882422,0.040827554992955095,0.04273823977882422,235344000
